Parameter,Estimate,Std. Error
log(Dynamic_Aggregated_SSB0),5.758535519,0.079162135
log(Dynamic_Aggregated_SSB0),5.76620983,0.076360032
log(Dynamic_Aggregated_SSB0),5.773922669,0.073512014
log(Dynamic_Aggregated_SSB0),5.780699155,0.070705508
log(Dynamic_Aggregated_SSB0),5.785600871,0.06799881
log(Dynamic_Aggregated_SSB0),5.787901228,0.065422409
log(Dynamic_Aggregated_SSB0),5.786931832,0.062991426
log(Dynamic_Aggregated_SSB0),5.782403392,0.060714216
log(Dynamic_Aggregated_SSB0),5.773931461,0.05859765
log(Dynamic_Aggregated_SSB0),5.760960722,0.056653104
log(Dynamic_Aggregated_SSB0),5.743099518,0.05485709
log(Dynamic_Aggregated_SSB0),5.721728215,0.053160909
log(Dynamic_Aggregated_SSB0),5.69740265,0.051621944
log(Dynamic_Aggregated_SSB0),5.676031726,0.050144989
log(Dynamic_Aggregated_SSB0),5.66624167,0.048676716
log(Dynamic_Aggregated_SSB0),5.672694285,0.047399089
log(Dynamic_Aggregated_SSB0),5.696447444,0.046472232
log(Dynamic_Aggregated_SSB0),5.730731181,0.04589288
log(Dynamic_Aggregated_SSB0),5.766778289,0.045436714
log(Dynamic_Aggregated_SSB0),5.798368713,0.044966626
log(Dynamic_Aggregated_SSB0),5.819601974,0.044611045
log(Dynamic_Aggregated_SSB0),5.826349003,0.0444743
log(Dynamic_Aggregated_SSB0),5.81942581,0.044548022
log(Dynamic_Aggregated_SSB0),5.801376391,0.044917619
log(Dynamic_Aggregated_SSB0),5.776337184,0.045545613
log(Dynamic_Aggregated_SSB0),5.748118657,0.046311187
log(Dynamic_Aggregated_SSB0),5.720512653,0.047089067
log(Dynamic_Aggregated_SSB0),5.695650886,0.047837419
log(Dynamic_Aggregated_SSB0),5.67341575,0.048597942
log(Dynamic_Aggregated_SSB0),5.652208616,0.049433914
log(Dynamic_Aggregated_SSB0),5.631502989,0.050302943
log(Dynamic_Aggregated_SSB0),5.610749936,0.051170814
log(Dynamic_Aggregated_SSB0),5.591285198,0.051902728
log(Dynamic_Aggregated_SSB0),5.575823763,0.052311561
log(Dynamic_Aggregated_SSB0),5.565583674,0.052371822
log(Dynamic_Aggregated_SSB0),5.561593374,0.052075709
log(Dynamic_Aggregated_SSB0),5.563204044,0.051546593
log(Dynamic_Aggregated_SSB0),5.56804391,0.050979078
log(Dynamic_Aggregated_SSB0),5.573093716,0.05056
log(Dynamic_Aggregated_SSB0),5.574331357,0.050484541
log(Dynamic_Aggregated_SSB0),5.568472612,0.050838852
log(Dynamic_Aggregated_SSB0),5.554797311,0.051559264
log(Dynamic_Aggregated_SSB0),5.535297172,0.052495302
log(Dynamic_Aggregated_SSB0),5.513247967,0.053453909
log(Dynamic_Aggregated_SSB0),5.491422481,0.054296664
log(Dynamic_Aggregated_SSB0),5.471472441,0.054994387
log(Dynamic_Aggregated_SSB0),5.452781856,0.055636261
log(Dynamic_Aggregated_SSB0),5.43478852,0.056243946
log(Dynamic_Aggregated_SSB0),5.415658285,0.056933119
log(Dynamic_Aggregated_SSB0),5.403042596,0.057168424
log(Dynamic_Aggregated_SSB0),5.404117999,0.056711933
log(Dynamic_Aggregated_SSB0),5.430027225,0.055556341
log(Dynamic_Aggregated_SSB0),5.490458416,0.054355369
log(Dynamic_Aggregated_SSB0),5.584584876,0.054325334
log(Dynamic_Aggregated_SSB0),5.699527557,0.055665922
log(Dynamic_Aggregated_SSB0),5.814881127,0.057547513
log(Dynamic_Aggregated_SSB0),5.912607798,0.059081399
